Vallformosa «Freye» Parellada - Muscat,тихое,Пенедес,Masia Vallformosa, Испания, 0,75 л, полусухое, 11,50%
Villa Maria Lightly Sparkling,игристое,Мальборо,Villa Maria, Новая Зеландия, 0,75 л, полусухое, 13%
La Bioca Zabalda,тихое,Пьемонт,La Bioca, Италия, 0,75 л, сухое, 14,5%
Freixenet Cordon Negro Cava Brut,игристое,Каталония,Freixenet, Испания, 0,75 л, брют, 11,50%
Bernard Magrez Leyenda de Casa Magrez,тихое,Центральная долина,Bernard Magrez, Чили, 0,75 л, сухое, 13,5%
Cave du Roi Dagobert Gewurztraminer Tradition,тихое,Эльзас,Roi Dagobert, Франция, 0,75 л, полусухое, 13,0%
Bosco R Montepulciano d’Abruzzo,тихое,Абруццо,Bosco, Италия, 0,75 л, сухое, 13,50%
Vallformosa Heredad 1874 Crianza,тихое,Риоха,Masia Vallformosa, Испания, 0,75 л, сухое, 13,50%
Boutari Naoussa,тихое,Наусса,Boutari, Греция, 0,75 л, сухое, 12,50%
Plantaze Vranac Pro Corde,тихое,Подгорица,13. jul Plantaze, Черногория, 0,75 л, сухое, 14,00%
Emilio Lustau DeLuxe Cream Capataz Andres Sherry,крепленое,Андалусия,Emilio Lustau, Испания, 0,75 л, сладкое, 20,0%
Dominio Dostares Estay,тихое,Кастилия и Леон,Dominio de Tares, Испания, 0,75 л, сухое, 14,50%
Celler Credo Miranius,тихое,Пенедес,Celler Credo, Испания, 0,75 л, сухое, 11%
Dal Bello Oro della Regina Asolo Prosecco Superiore Brut,игристое,Венето,Dal Bello, Италия, 0,75 л, брют, 11,0%
E.Guigal Cotes-du-Rhone Rouge,тихое,Долина Роны,E.Guigal, Франция, 0,75 л, сухое, 14,0%
Capezzana Barco Reale di Carmignano,тихое,Тоскана,Capezzana, Италия, 0,75 л, сухое, 13,50%
Carlo Pellegrino Ulysse Etna,тихое,Сицилия,Cantine Pellegrino, Италия, 0,75 л, сухое, 13,50%
Arnaldo Caprai Grecante Colli Martani Grechetto,тихое,Умбрия,Arnaldo Caprai, Италия, 0,75 л, сухое, 13,0%
Donnafugata Sherazade,тихое,Сицилия,Donnafugata, Италия, 0,75 л, сухое, 13,00%
E.Guigal Cotes-du-Rhone Blanc,тихое,Долина Роны,E.Guigal, Франция, 0,75 л, сухое, 13,50%
Nexus One,тихое,Рибера дель Дуэро,Frontaura, Испания, 0,75 л, сухое, 14,50%
Emilio Lustau Vermut,вермут,unknown,Emilio Lustau, Испания, 0,75 л, сладкое, 15,00%
Laurenz V Singing Gruner Veltliner,тихое,Нижняя Австрия,Laurenz V., Австрия, 0,75 л, полусухое, 12,00%
Saracco Moscato d'Asti,игристое,Пьемонт,Paolo Saracco, Италия, 0,75 л, сладкое, 5,50%
Matsu El Recio,тихое,Кастилия и Леон,Matsu, Испания, 0,75 л, сухое, 14,50%
Brumont Torus Madiran,тихое,Юго-Запад Франции,Brumont Vignobles, Франция, 0,75 л, сухое, 13,50%
Castelli del Grevepesa Chianti Classico Riserva Clemente VII,тихое,Тоскана,Castelli del Grevepesa, Италия, 0,75 л, сухое, 14,00%
Polkura Syrah,тихое,Кольчагуа,Polkura, Чили, 0,75 л, сухое, 14,50%
Re Manfredi Aglianico del Vulture,тихое,Базиликата,Re Manfredi, Италия, 0,75 л, сухое, 14,5%
Georg Breuer Sauvage Riesling,тихое,Рейнгау,Georg Breuer, Германия, 0,75 л, полусухое, 11,5%
Pio Cesare Nebiollo Langhe,тихое,Пьемонт,Pio Cesare, Италия, 0,75 л, сухое, 14,00%
Clos Floridene Blanc,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 12,8%
Bodega Noemia de Patagonia A Lisa,тихое,Патагония,Noemia de Patagonia, Аргентина, 0,75 л, сухое, 13,5%
Champagne Lanson Rose Label Brut,игристое,Шампань,Lanson, Франция, 0,75 л, брют, 12,5%
Shabo Brut Charmat,игристое,Одесская область,Шабо, Украина, 0,75 л, сухое, 10,50-13,50%
Shabo Semi-Dry Charmat,игристое,Одесская область,Шабо, Украина, 0,75 л, полусухое, 10,5-13,5%
Shabo Semi-Sweet Charmat,игристое,Одесская область,Шабо, Украина, 0,75 л, полусладкое, 10,50-13,50%
Shabo Gold Brut,игристое,Одесская область,Шабо, Украина, 0,75 л, сухое, 10,50-13,50%
Чизай Chateau Chizay Черсегі,тихое,Закарпатская область,Чизай, Украина, 0,75 л, сухое, 9,00 - 14,00%
Чизай Chateau Chizay Розе,тихое,Закарпатская область,Чизай, Украина, 0,75 л, сухое, 12,00%
Чизай Мерло Кошерное,тихое,Закарпатская область,Чизай, Украина, 0,75 л, полусухое, 9,00 - 14,00%
Cinzano Bianco,вермут,Пьемонт,Cinzano, Италия, 0,5 л, сладкое, 15,0%
Чизай Траминер,тихое,Закарпатская область,Чизай, Украина, 0,75 л, сухое, 9.50-13,00%
Чизай Каберне,тихое,Закарпатская область,Чизай, Украина, 0,75 л, сухое, 9,50 - 14,00%
Чизай Совіньйон,тихое,Закарпатская область,Чизай, Украина, 0,75 л, сухое, 9,50-14,00%
Righi Lambrusco Bianco Emilia IGT,игристое,Емилия-Романия,Righi, Италия, 0,75 л, полусладкое, 7,5%
Righi Lambrusco Rosso Emilia IGT,игристое,Емилия-Романия,Righi, Италия, 0,75 л, полусладкое, 7,5%
Covinca Vina Oria Tempranillo,тихое,Арагон,Covinca, Испания, 0,75 л, сухое, 13,00%
Cavino Ionos Imiglykos Red,тихое,Пелопоннес,Cavino, Греция, 0,75 л, полусладкое, 11,00%
Cavino Ionos Imiglykos White,тихое,Пелопоннес,Cavino, Греция, 0,75 л, полусладкое, 11,00%
Einig-Zenzen Makulu Cape White,тихое,Вестерн Кейп,Einig-Zenzen, ЮАР, 0,75 л, сухое, 12,50%
Einig-Zenzen Makulu Cape Rose,тихое,Вестерн Кейп,Einig-Zenzen, ЮАР, 0,75 л, полусухое, 13,0%
Einig-Zenzen Makulu Cape Red,тихое,Вестерн Кейп,Einig-Zenzen, ЮАР, 0,75 л, сухое, 13,00%
Covinca Marques de Somaya Macabeo,тихое,Лонгарес,Covinca, Испания, 0,75 л, сухое, 13,00%
Covinca Marques de Somaya Tempranillo,тихое,Арагон,Covinca, Испания, 0,75 л, сухое, 13,00%
Badagoni Vazisubani,null,Кахетия,Badagoni, Грузия, 0,75 л, сухое, 11,50%-13,50%
Вина Князя Трубецького Мерло,тихое,Херсонская область,Князь Трубецкой, Украина, 0,75 л, сухое, 10,00-14,00%
Вина Князя Трубецького Каберне,тихое,Херсонская область,Князь Трубецкой, Украина, 0,75 л, сухое, 10-14%
Felix Solis Soliera Tempranillo,тихое,Кастилия-Ла Манча,Felix Solis Avantis, Испания, 0,75 л, сухое, 12,0%
Marani Тбилисури,тихое,Кахетия,Marani, Грузия, 0,75 л, полусухое, 12,00%
Schenk Boccantino Montepulciano d’Abruzzo,тихое,Абруццо,Schenk Italia, Италия, 0,75 л, сухое, 12,50%
Aves del Sur Cabernet Sauvignon,тихое,Мауле,Vina Carta Vieja, Чили, 0,75 л, сухое, 12,50%
Einig-Zenzen Crocodile Creek Semillon Chardonnay,тихое,Южная Австралия,Einig-Zenzen, Австралия, 0,75 л, полусухое, 12,5%
Einig-Zenzen Crocodile Creek Cabernet Sauvignon,тихое,Южная Австралия,Einig-Zenzen, Австралия, 0,75 л, полусухое, 13,50%
Aves del Sur Carmenere,тихое,Мауле,Vina Carta Vieja, Чили, 0,75 л, сухое, 12,5%
Einig-Zenzen Crocodile Creek Shiraz Cabernet Sauvignon,тихое,Южная Австралия,Einig-Zenzen, Австралия, 0,75 л, полусухое, 13,50%
Aves del Sur Chardonnay,тихое,Мауле,Vina Carta Vieja, Чили, 0,75 л, сухое, 13,00%
Maison Bouey Lettres de France Colombard Chardonnay,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 11,50%
Cavino Ionos White,тихое,unknown,Cavino, Греция, 0,75 л, сухое, 11,50%
Cutler Crest Chardonnay,тихое,Калифорния,Zimmermann-Graeff & Muller, США, 0,75 л, полусухое, 12,5%
Cavino Ionos Red,тихое,unknown,Cavino, Греция, 0,75 л, сухое, 12,00%
Grande Vallee Рислинг,тихое,Одесская область,Grande Vallee, Украина, 0,75 л, сухое, 12,00%
Shabo Classic (полусладкое),игристое,Одесская область,Шабо, Украина, 0,75 л, полусладкое, 10,50 - 13,50%
Einig-Zenzen Crocodile Creek Chardonnay,тихое,Южная Австралия,Einig-Zenzen, Австралия, 0,75 л, сухое, 12,50%
Shabo Classic Брют,игристое,Одесская область,Шабо, Украина, 0,75 л, брют, 10,50-13,50%
Cantina Castelnuovo del Garda Merlot Castelnuovo,тихое,Венето,Castelnuovo, Италия, 0,75 л, сухое, 12,00%
Cavicchioli Lambrusco Rosso dell'Emilia IGT Dolce,игристое,Емилия-Романия,Cavicchioli, Италия, 0,75 л, полусладкое, 7,50%
Baron d'Arignac Chardonnay,тихое,Лангедок-Руссильон,Baron d'Arignac, Франция, 0,75 л, полусухое, 12,0%
Filipetti Vermouth Rosso Torino,вермут,Пьемонт,Valsa Nuovo Perlino, Италия, 1 л, сладкое, 14,80%
Felix Solis Vina Albali Airen Semidulce,тихое,Кастилия-Ла Манча,Felix Solis Avantis, Испания, 0,75 л, полусухое, 11,5%
Колонист Сухолиманское,тихое,Одесская область,Kolonist, Украина, 0,75 л, сухое, 12,00%
Felix Solis Vina Albali Tempranillo,тихое,Кастилия-Ла Манча,Felix Solis Avantis, Испания, 0,75 л, сухое, 13,0%
Cape Zebra Pinotage,тихое,Вестерн Кейп,Overhex Wines, ЮАР, 0,75 л, сухое, 13,0%
Cape Zebra Chenin Blanc,тихое,Вестерн Кейп,Overhex Wines, ЮАР, 0,75 л, сухое, 12,0%
Вина Князя Трубецького Перлина Степу,тихое,Херсонская область,Князь Трубецкой, Украина, 0,75 л, сухое, 10,00-13,00%
G7 Merlot Rose,тихое,Мауле,Vina Carta Vieja, Чили, 0,75 л, полусухое, 13,00%
G7 Cabernet Sauvignon,тихое,Мауле,Vina Carta Vieja, Чили, 0,75 л, сухое, 13,00%
G7 Merlot,тихое,Мауле,Vina Carta Vieja, Чили, 0,75 л, сухое, 13,0%
