Taittinger Brut Reserve,игристое,Шампань,Taittinger, Франция, 0,75 л, брют, 12,0%
Sandeman Founders Reserve Porto,крепленое,Дору,Sogrape Vinhos, Португалия, 0,75 л, null, 20,0%
Osaado Chardonnay,тихое,unknown,Salentein, Аргентина, 0,75 л, сухое, 14,0%
Новый свет сухое,игристое,unknown,null, Украина, 0,75 л, сухое, Не указано
Ruffino Torgaio,тихое,Тоскана,Ruffino, Италия, 0,75 л, сухое, 12,5%
Inniskillin Cabernet Franc,тихое,unknown,Inniskillin, Канада, 0,375 л, сладкое, 9,5%
Tokaj Oremus Tokaji Aszu 5 puttonyos,тихое,Токай,Tokaj Oremus, Венгрия, 0,5 л, сладкое, 12,0%
Brumont Chateau Bouscasse Brumaire,тихое,Юго-Запад Франции,Brumont Vignobles, Франция, 0,5 л, сладкое, 13,0%
Produttori del Barbaresco Asili,тихое,Пьемонт,Produttori del Barbaresco, Италия, 0,75 л, сухое, 14,5%
Seigneur de Perrin,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,0%
Rosatello Rosato,игристое,unknown,Rosatello, Италия, 0,75 л, сладкое, 6,0%
Bodegas Otero Valleoscuro Rose,тихое,Кастилия и Леон,Otero, Испания, 0,75 л, сухое, 13,0%
Bernard Magrez Kahina,тихое,Гверуанэ,Bernard Magrez, Марокко, 0,75 л, сухое, 15,0%
Andre Chalandon Brouilly,тихое,Бургундия,Andre Chalandon, Франция, 0,75 л, сухое, 13,0%
Abbazia Di Novacella Pinot Nero,тихое,Трентино-Альто Адидже,Abbazia di Novacella, Италия, 0,75 л, сухое, 13,0%
Gerardo Cesari Essere Valpolicella,тихое,Венето,Gerardo Cesari, Италия, 0,75 л, сухое, 12,0%
Bascand Chardonnay,тихое,Мальборо,Southern Boundary Wines, Новая Зеландия, 0,75 л, сухое, 14,0%
Chateau Hauchat La Rose,тихое,Бордо,Jean-Bernard Saby & Fils, Франция, 0,75 л, сухое, 13,0%
Gerardo Cesari Essere Valpolicella,тихое,Венето,Gerardo Cesari, Италия, 0,75 л, сухое, 12,0%
Bascand Chardonnay,тихое,Мальборо,Southern Boundary Wines, Новая Зеландия, 0,75 л, сухое, 14,0%
Chateau Hauchat La Rose,тихое,Бордо,Jean-Bernard Saby & Fils, Франция, 0,75 л, сухое, 13,0%
Vallformosa Gemma Merlot,тихое,Пенедес,Masia Vallformosa, Испания, 0,75 л, сухое, 13,0%
Carmenere Leon de Tarapaca,тихое,unknown,Tarapaca, Чили, 0,75 л, сухое, 13,0%
Laroche La Chevaliere Merlot,тихое,Лангедок-Руссильон,Laroche, Франция, 0,75 л, сухое, 13,5%
Maison Louis Latour Volnay,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,5%
Farnese Vigneti Del Salento I Muri Bianco,тихое,Апулия,Farnese, Италия, 0,75 л, полусухое, 12,0%
Bernard Magrez Tranquillite Grenache,тихое,Лангедок-Руссильон,Bernard Magrez, Франция, 0,75 л, сухое, 12,5%
Tenute Perini Trombaia,тихое,Тоскана,Tenute Perini, Италия, 0,75 л, сухое, 14,0%
Capannelle Chianti Classico Riserva,тихое,Тоскана,Capannelle, Италия, 0,375 л, сухое, 13,0%
Mastrojanni Rosso di Montalcino,тихое,Тоскана,Mastrojanni, Италия, 0,75 л, сухое, 14,5%
Laroche Chablis,тихое,Бургундия,Laroche, Франция, 0,375 л, сухое, 12,0%
Waipara Springs Chardonnay,тихое,Уейпара,Southern Boundary Wines, Новая Зеландия, 0,75 л, сухое, 14,0%
Azienda Agricola Ricchi Chardonnay Meridiano Garda,тихое,Ломбардия,Ricchi, Италия, 0,75 л, сухое, 13,5%
Santa Ana Caracter Cabernet Sauvignon - Merlot,тихое,Мендоза,Santa Ana, Аргентина, 0,75 л, сухое, 12,5%
Domaine Le Colombier Vacqueyras Tradition Rouge,тихое,Долина Роны,Ambiance Rhone Terroirs, Франция, 0,75 л, сухое, 13,5%
Chardonnay Castelnuovo,тихое,unknown,Castelnuovo, Италия, 5 л, сухое, 12,0%
Bisceglia Armille Syrah,тихое,Базиликата,Bisceglia, Италия, 0,75 л, сухое, 14,0%
Falesco Est! Est!! Est!!! Le Tradizioni,тихое,Лацио,Falesco, Италия, 0,75 л, сухое, 12,5%
Sogrape Vinhos Vila Regia Douro Red,тихое,Виньо Верде,Sogrape Vinhos, Португалия, 0,75 л, сухое, 13,0%
Sandeman Tawny 10 Y.O.,крепленое,Дору,Sogrape Vinhos, Португалия, 0,75 л, сладкое, 20,0%
Новый Свет Кюве Брют,игристое,unknown,null, Украина, 0,75 л, брют, 10,5-12,5 %
Ruffino Riserva Ducale Chianti Classico,тихое,Тоскана,Ruffino, Италия, 0,75 л, сухое, Не указано
Castellani Amarone Della Valpolicella Classico Ca del Pipa Cinque Stell,тихое,Венето,Castellani Michele & Figli, Италия, 0,75 л, сухое, 16,0%
Brumont Chateau Bouscasse,тихое,Юго-Запад Франции,Brumont Vignobles, Франция, 0,75 л, сухое, 14,5%
Les Hauts De Pez,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,0%
Chateau de Camarsac futs-de-chene,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,5%
Jean-Luc Colombo La Louvee Cornas Syrah,тихое,Долина Роны,Vins Jean-Luc Colombo, Франция, 0,75 л, сухое, 13,5%
Vallformosa Masia La Sala,тихое,Каталония,Masia Vallformosa, Испания, 0,75 л, сухое, 11,0%
Новый Свет Кюве Брют,игристое,unknown,null, Украина, 0,75 л, брют, 10,5-12,5 %
Ruffino Riserva Ducale Chianti Classico,тихое,Тоскана,Ruffino, Италия, 0,75 л, сухое, Не указано
Castellani Amarone Della Valpolicella Classico Ca del Pipa Cinque Stell,тихое,Венето,Castellani Michele & Figli, Италия, 0,75 л, сухое, 16,0%
Brumont Chateau Bouscasse,тихое,Юго-Запад Франции,Brumont Vignobles, Франция, 0,75 л, сухое, 14,5%
Penfolds Bin 2 Shiraz Mourvedre,тихое,Южная Австралия,Penfolds, Австралия, 0,75 л, сухое, 14,0%
Сhateau de Cazenove,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 12,5%
Les Hauts De Pez,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,0%
Di Lenardo Pass the Cookies,тихое,Фриули Венеция Джулия,Di Lenardo Vineyards, Италия, 0,5 л, сладкое, 12,5%
Bisceglia Armille Syrah,тихое,Базиликата,Bisceglia, Италия, 0,75 л, сухое, 14,0%
Falesco Est! Est!! Est!!! Le Tradizioni,тихое,Лацио,Falesco, Италия, 0,75 л, сухое, 12,5%
Felix Solis Sangria Frisse White,игристое,Кастилия-Ла Манча,Felix Solis Avantis, Испания, 0,75 л, полусладкое, 5,0%
Chardonnay Castelnuovo,тихое,unknown,Castelnuovo, Италия, 5 л, сухое, 12,0%
Advini Josselin Petit Chablis,тихое,Бургундия,Advini, Франция, 0,75 л, сухое, 14,0%
Mastrojanni Brunello di Montalcino,тихое,Тоскана,Mastrojanni, Италия, 0,375 л, сухое, 14,5%
Bodegas Otero Valleoscuro Red,тихое,Кастилия и Леон,Otero, Испания, 0,75 л, сухое, 13,0%
Andre Chalandon Bourgogne Blanc,тихое,Бургундия,Andre Chalandon, Франция, 0,75 л, сухое, 12,5%
Abbazia di Novacella Praepositus Sylvaner,тихое,Трентино-Альто Адидже,Abbazia di Novacella, Италия, 0,75 л, сухое, 13,5%
Lapostolle Cuvee Alexandre Chardonnay,тихое,Касабланка,Lapostolle, Чили, 0,75 л, сухое, 14,0%
Tarapaca + Plus,тихое,Майпо Велей,Tarapaca, Чили, 0,75 л, сухое, 15,0%
Cabernet Sauvignon Reserva Tarapaca,тихое,Майпо Велей,Tarapaca, Чили, 0,75 л, сухое, 14,0%
Mureda Melibea Tinto,тихое,Кастилия-Ла Манча,Mureda Alimentacion, Испания, 0,75 л, сухое, 13,0%
Robert Mondavi Zinfandel Twin Oaks,тихое,Калифорния,Robert Mondavi, США, 0,75 л, сухое, 14,0%
Don Pascual Viognier Reserve,тихое,unknown,Don Pascual, Уругвай, 0,75 л, сухое, Не указано
Vietti Barolo Lazzarito,тихое,Пьемонт,Vietti, Италия, 0,75 л, сухое, 14,5%
Cabernet Sauvignon Leon de Tarapaca,тихое,unknown,Tarapaca, Чили, 0,75 л, сухое, 13,0%
Laroche La Chevaliere Pinot Noir,тихое,Лангедок-Руссильон,Laroche, Франция, 0,75 л, сухое, 12,5%
Yellow Tail Shiraz,тихое,unknown,Касела Вайнс, Австралия, 0,75 л, сухое, 14,0%
Chateau Angelus,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 15,0%
Bascand Riesling,тихое,Мальборо,Southern Boundary Wines, Новая Зеландия, 0,75 л, полусухое, 12,5%
Abbazia di Novacella Praepositus Pinot Nero Riserva,тихое,Трентино-Альто Адидже,Abbazia di Novacella, Италия, 0,75 л, сухое, 13,5%
Simonnet Febvre Saint Bris Sauvignon,тихое,Бургундия,Simonnet-Febvre, Франция, 0,75 л, сухое, 12,5%
Chateau de Camarsac futs-de-chene,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,5%
Cabernet Sauvignon Leon de Tarapaca,тихое,unknown,Tarapaca, Чили, 0,75 л, сухое, 13,0%
Laroche La Chevaliere Pinot Noir,тихое,Лангедок-Руссильон,Laroche, Франция, 0,75 л, сухое, 12,5%
Castellani Campo del Biotto Valpolicella Classico I Castei,тихое,Венето,Castellani Michele & Figli, Италия, 0,75 л, сухое, 12,5%
Castello Di Ama Chianti Classico,тихое,Тоскана,Castello di Ama, Италия, 0,75 л, сухое, 13,5%
Domaine Jaume La Friande Cotes du Rhone Rouge,тихое,Долина Роны,Ambiance Rhone Terroirs, Франция, 0,75 л, сухое, 13,5%
Bascand Sauvignon Blanc,тихое,Мальборо,Southern Boundary Wines, Новая Зеландия, 0,75 л, сухое, 13,0%
Chateau Rolland Maillet,тихое,Бордо,Rolland Collection, Франция, 0,75 л, сухое, 14,0%
Golan Heights Winery Sion Creek Golan,тихое,Галилея,Golan Heights, Израиль, 0,75 л, сухое, 14,0%
Mastrojanni Brunello di Montalcino,тихое,Тоскана,Mastrojanni, Италия, 1,5 л, сухое, 15,0%
Bodega Rejadorada Novellum Crianza,тихое,Кастилия и Леон,Rejadorada, Испания, 0,75 л, сухое, 14,5%
Bodega Del Palacio De Los Frontaura Y Victoria Nexus Crianza,тихое,Рибера дель Дуэро,Frontaura, Испания, 0,75 л, сухое, 14,0%
Bisceglia Gudarra Aglianico Del Vulture,тихое,Базиликата,Bisceglia, Италия, 0,75 л, сухое, 14,00%
Sogrape Vinhos Verde Gazela Rose,тихое,Виньо Верде,Sogrape Vinhos, Португалия, 0,75 л, полусладкое, 9,5%
Новый Свет Пино Фран,игристое,unknown,null, Украина, 0,75 л, сухое, Не указано
Marani Твиши,тихое,Рача-Лечхум,Marani, Грузия, 0,75 л, полусладкое, 11,0%
Brumont Chateau Bouscasse,тихое,Юго-Запад Франции,Brumont Vignobles, Франция, 0,375 л, сухое, 14,5%
Produttori del Barbaresco Barbaresco,тихое,Пьемонт,Produttori del Barbaresco, Италия, 1,5 л, сухое, 14,5%
Le Petit Mouton de Mouton Rothschild,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,0%
Bernard Magrez Passion Legere Les Muraires,тихое,Прованс,Bernard Magrez, Франция, 0,75 л, сухое, 12,5%
Chateau Beaumont,тихое,Бордо,Barriere Freres, Франция, 1,5 л, сухое, 14,0%
Domaine Chante Cigale Chateauneuf-du-Pape Tradition Rouge,тихое,Долина Роны,Ambiance Rhone Terroirs, Франция, 0,75 л, сухое, 15,0%
Advini Josselin Chablis,тихое,Бургундия,Advini, Франция, 0,75 л, сухое, 12,0%
Chateau Mazeyres,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,5%
Capezzana 804,тихое,Тоскана,Capezzana, Италия, 0,75 л, сухое, 14,0%
Simonnet Febvre Cremant de Bourgogne Blanc Brut,игристое,Бургундия,Simonnet-Febvre, Франция, 0,75 л, брют, 12,0%
Tasca d'Almerita Sallier de La Tour Inzolia,тихое,Сицилия,Tasca d'Almerita, Италия, 0,75 л, сухое, 12,0%
Fincas de Ganuza Reserva,тихое,Риоха,Remirez de Ganuza, Испания, 0,75 л, сухое, 14,0%
Abbazia di Novacella Praepositus Riesling,тихое,Трентино-Альто Адидже,Abbazia di Novacella, Италия, 0,75 л, сухое, 13,0%
Andre Chalandon Macon-Villages Blanc,тихое,Бургундия,Andre Chalandon, Франция, 0,75 л, сухое, 12,5%
Abbazia di Novacella Sauvignon,тихое,Трентино-Альто Адидже,Abbazia di Novacella, Италия, 0,75 л, сухое, 13,1%
Laurenz V. Sunny Gruner Veltliner,тихое,Нижняя Австрия,Laurenz V., Австрия, 0,75 л, сухое, 12,0%
Bernard Magrez Passion Legere Les Muraires,тихое,Прованс,Bernard Magrez, Франция, 0,75 л, сухое, 12,5%
Blason D'Issan,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 13,0%
Chateau Marsac Seguineau,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 14,0%
Le Petit Mouton de Mouton Rothschild,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,0%
Rolland Collection Yacochuya,тихое,Сальта,Rolland Collection, Аргентина, 0,75 л, сухое, 15,3%
Taittinger Prestige Rose Brut,игристое,Шампань,Taittinger, Франция, 0,75 л, брют, 12,5%
Salentein Callia Alta Pinot Grigio,тихое,Мендоза,Salentein, Аргентина, 0,75 л, сухое, Не указано
Chardonnay Reserva Tarapaca,тихое,Майпо Велей,Tarapaca, Чили, 0,75 л, сухое, 14,0%
Mureda Melibea Blanco,тихое,Кастилия-Ла Манча,Mureda Alimentacion, Испания, 0,75 л, сухое, 11,5%
Don Pascual Marselan Reserve,тихое,unknown,Don Pascual, Уругвай, null, сухое, 14,0%
Вино Князя Трубецького Піно Нуар,тихое,Херсонская область,Князь Трубецкой, Украина, 0,75 л, сухое, 12,5%
Santero Asti (Eticheta Nera),игристое,unknown,Santero, Италия, 0,75 л, сладкое, 7,0%
Jean Bousquet Pinot Noir Reserve,тихое,Мендоза,Jean Bousquet, Аргентина, 0,75 л, сухое, 15,0%
Avignonesi-Capannelle 50&50,тихое,Тоскана,Capannelle, Италия, 0,75 л, сухое, 13,5%
Dow’s Colheita Single Harvest Tawny Port,крепленое,Доуро,Symington, Португалия, 0,75 л, сладкое, 20,0%
Golan Heights Winery Sion Creek Golan,тихое,Галилея,Golan Heights, Израиль, 0,75 л, сухое, 14,0%
Bascand Sauvignon Blanc,тихое,Мальборо,Southern Boundary Wines, Новая Зеландия, 0,75 л, сухое, 13,0%
Abbazia di Novacella Praepositus Riesling,тихое,Трентино-Альто Адидже,Abbazia di Novacella, Италия, 0,75 л, сухое, 13,0%
Mesa Moro,тихое,Сардиния,Mesa, Италия, 0,75 л, сухое, 13,5%
Lucaniacus Lalande de Pomerol,тихое,Бордо,Jean-Bernard Saby & Fils, Франция, 0,75 л, сухое, 13,0%
Vallformosa Anna Xarel-lo - Chardonnay,тихое,Пенедес,Masia Vallformosa, Испания, 0,75 л, сухое, 12,0%
Dominio Dostares Leione,тихое,Кастилия и Леон,Dominio de Tares, Испания, 0,75 л, сухое, 14,0%
Fincas de Ganuza Reserva,тихое,Риоха,Remirez de Ganuza, Испания, 0,75 л, сухое, 14,0%
Castellani Campo del Biotto Valpolicella Classico I Castei,тихое,Венето,Castellani Michele & Figli, Италия, 0,75 л, сухое, 12,5%
Castello Di Ama Chianti Classico,тихое,Тоскана,Castello di Ama, Италия, 0,75 л, сухое, 13,5%
Domaine Jaume La Friande Cotes du Rhone Rouge,тихое,Долина Роны,Ambiance Rhone Terroirs, Франция, 0,75 л, сухое, 13,5%
Advini Josselin Chablis Premier Cru,тихое,Бургундия,Advini, Франция, 0,75 л, сухое, 12,5%
Maison Louis Latour Charmes-Chambertin Grand Cru,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 14,0%
Jean-Luc Colombo Les Fees Brunes Crozes-Hermitage Syrah,тихое,Долина Роны,Vins Jean-Luc Colombo, Франция, 0,75 л, сухое, 13,0%
Capannelle Solare,тихое,Тоскана,Capannelle, Италия, 0,75 л, сухое, 13,0%
Dow’s Colheita Single Harvest Tawny Port,крепленое,Доуро,Symington, Португалия, 0,75 л, сладкое, 20,0%
Quinta da Romaneira Reserva,тихое,Доуро,Quinta da Romaneira, Португалия, 0,75 л, сухое, 14,0%
Domaine Le Colombier Cote Ventoux Classic Rouge,тихое,Долина Роны,Ambiance Rhone Terroirs, Франция, 0,75 л, сухое, 14,0%
Les Cretes Valle d’Aosta Chardonnay,тихое,Валле д'Аоста,Les Cretes, Италия, 0,75 л, сухое, 13,5%
Konrad Bunch Selection Riesling,тихое,Мальборо,Konrad Wines, Новая Зеландия, 0,75 л, полусладкое, 8,50%, 9,50%
Tasca d'Almerita Sallier de La Tour Grillo,тихое,Сицилия,Tasca d'Almerita, Италия, 0,75 л, сухое, 13,5%
Antoine Moueix Bordeaux La Grande Chapelle,тихое,Бордо,Antoine Moueix, Франция, 0,75 л, сухое, 13,5%
Recaredo Brut de Brut Gran Reserva Brut Nature,игристое,Каталония,Recaredo, Испания, 0,75 л, брют, 12,0%
Mastroberardino Mastro Campania Bianco,тихое,Кампания,Mastroberardino, Италия, 0,75 л, сухое, 12,0%
Lapostolle Cuvee Alexandre Pinot Noir,тихое,Касабланка,Lapostolle, Чили, 0,75 л, сухое, 13,5%
Мимино Цинандали,тихое,Кахетия,Мимино, Грузия, 0,75 л, сухое, Не указано
Sogrape Vinhos Mateus Rose,тихое,Виньо Верде,Sogrape Vinhos, Португалия, 0,75 л, полусухое, 11,0%
Gerardo Cesari Pinot Grigio Delle Venezie Fiorile,тихое,Венето,Gerardo Cesari, Италия, 0,75 л, сухое, 13,0%
Castellani Valpolicella Classico Superiore Ripasso I Castei Costamaran,тихое,Венето,Castellani Michele & Figli, Италия, 0,75 л, сухое, 16,0%
Simonnet Febvre Chablis Premier Cru Montmains,тихое,Бургундия,Simonnet-Febvre, Франция, 0,75 л, сухое, 13,0%
Advini Josselin Chablis Premier Cru,тихое,Бургундия,Advini, Франция, 0,75 л, сухое, 12,5%
Mastrojanni Brunello di Montalcino,тихое,Тоскана,Mastrojanni, Италия, 0,75 л, сухое, 15,0%
Bodegas Otero Otero Reserva,тихое,Кастилия и Леон,Otero, Испания, 0,75 л, сухое, 14,0%
Bodegas Emilio Moro Malleolus,тихое,Рибера дель Дуэро,Emilio Moro, Испания, 0,75 л, сухое, 14,5%
Andre Chalandon Bourgogne Passetoutgrain,тихое,Бургундия,Andre Chalandon, Франция, 0,75 л, сухое, 12,0%
Abbazia di Novacella Veltliner,тихое,Трентино-Альто Адидже,Abbazia di Novacella, Италия, 0,75 л, сухое, 13,8%
Di Lenardo TOH Da Uve Friulano,тихое,Фриули Венеция Джулия,Di Lenardo Vineyards, Италия, 0,75 л, сухое, 13,0%
Brut Santero,игристое,unknown,Santero, null, 0,75 л, брют, Не указано
Bascand Pinot Noir,тихое,Мальборо,Southern Boundary Wines, Новая Зеландия, 0,75 л, сухое, 13,5%
Abbazia Di Novacella Praepositus Gewurztraminer,тихое,Трентино-Альто Адидже,Abbazia di Novacella, Италия, 0,75 л, сухое, 14,5%
Mesa Buio,тихое,Сардиния,Mesa, Италия, 0,75 л, сухое, 13,5%
Champagne Jacquart Brut Mosaique,игристое,Шампань,Jacquart, Франция, 0,75 л, брют, 12,5%
Carlo Pellegrino Marsala Vergine Riserva del Centenario Annata,крепленое,Сицилия,Cantine Pellegrino, Италия, 0,75 л, полусладкое, 18,0%
Вино Taylors Vintage кор міц.чер,null,unknown,null, null, null, null, 20,5%
Chateau Dassault,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 15,0%
Chateau Labegorce,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,0%
Antoine Moueix Bordeaux La Grande Chapelle,тихое,Бордо,Antoine Moueix, Франция, 0,75 л, сухое, 13,5%
Amiral de Beychevelle,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 13,5%
Konrad Bunch Selection Riesling,тихое,Мальборо,Konrad Wines, Новая Зеландия, 0,75 л, полусладкое, 8,50%, 9,50%
Tasca d'Almerita Sallier de La Tour Grillo,тихое,Сицилия,Tasca d'Almerita, Италия, 0,75 л, сухое, 13,5%
Remirez De Ganuza Reserva,тихое,Риоха,Remirez de Ganuza, Испания, 0,75 л, сухое, 14,50%
Castellani Campo Casalin Amarone Della Valpolicella Classico I Castei,тихое,Венето,Castellani Michele & Figli, Италия, 0,75 л, полусухое, 16,0%
Castello di Ama IL Chiuso Toscana,тихое,Тоскана,Castello di Ama, Италия, 0,75 л, сухое, 13,0%
L'Heritage De Chasse Spleen,тихое,Бордо,Chasse Spleen, Франция, 0,75 л, сухое, 13,5%
Chateau l'Ermitage Vin Doux Grenache Rouge,тихое,Долина Роны,Ambiance Rhone Terroirs, Франция, 0,5 л, сладкое, 15,5%
Domaines Rollan de By Chateau La Clare Medoc,тихое,Бордо,Rollan de By, Франция, 0,75 л, сухое, 13,5%
Dow’s Vintage Port,крепленое,unknown,Symington, Португалия, 1,5 л, сладкое, 20,0%
Chateau Gloria,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,0%
Domaine Chante Cigale Chateauneuf-du-Pape Blanc,тихое,Долина Роны,Ambiance Rhone Terroirs, Франция, 0,75 л, сухое, 13,5%
Vallformosa DuQue Egmond Cava Brut,игристое,Каталония,Masia Vallformosa, Испания, 0,75 л, брют, 11,5%
Di Lenardo Pinot Grigio Dal Vigneto Vigne Dai Vieris,тихое,Фриули Венеция Джулия,Di Lenardo Vineyards, Италия, 0,75 л, сухое, 12,5%
Arboleda Marsanne-Viognier-Roussanne,тихое,Аконкагуа,Arboleda, Чили, 0,75 л, сухое, 14,5%
Arrogant Frog Croak Baronne Syrah,тихое,Лангедок-Руссильон,Domaines Paul Mas, Франция, 0,75 л, сухое, 13,5%
Castelli del Grevepesa Chianti Classico Riserva Castelgreve,тихое,Тоскана,Castelli del Grevepesa, Италия, 0,75 л, сухое, 13,5%
Мимино Алазанская долина,тихое,Кахетия,Мимино, Грузия, 0,75 л, полусладкое, Не указано
Sogrape Vinhos Mateus Rose Tempranillo,тихое,Виньо Верде,Sogrape Vinhos, Португалия, 0,75 л, полусладкое, 10,5%
Martini Dry,вермут,Пьемонт,Martini & Rossi, Италия, 0,5 л, сухое, 15,0%
Robert Mondavi Woodbridge Shiraz,тихое,Калифорния,Robert Mondavi, США, 0,75 л, сухое, Не указано
Новый свет Пино Нуар брют,игристое,unknown,null, Украина, 0,75 л, брют, 12,5%
Col d’Orcia Brunello di Montalcino,тихое,Тоскана,Col D'Orcia, Италия, 3 л, сухое, 14,5%
Produttori del Barbaresco Barbaresco,тихое,Пьемонт,Produttori del Barbaresco, Италия, 0,75 л, сухое, 14,5%
Le Volte dell’Ornellaia,тихое,Тоскана,Tenuta dell Ornellaia, Италия, 0,75 л, сухое, 13,5%
Le Volte dell’Ornellaia,тихое,Тоскана,Tenuta dell Ornellaia, Италия, 0,75 л, сухое, 13,5%
Simonnet Febvre Chablis Premier Cru,тихое,Бургундия,Simonnet-Febvre, Франция, 0,75 л, сухое, 13,0%
Cutler Crest Zinfandel Rose,тихое,Калифорния,Zimmermann-Graeff & Muller, США, 0,75 л, полусладкое, 10,5%
Chateau La Fleur-Petrus,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,5%
Remirez de Ganuza Trasnocho,тихое,Риоха,Remirez de Ganuza, Испания, 0,75 л, сухое, 14,5%
Abbazia di Novacella Praepositus Kerner,тихое,Трентино-Альто Адидже,Abbazia di Novacella, Италия, 0,75 л, сухое, 14,4%
Mesa Rosa Grande,тихое,Сардиния,Mesa, Италия, 0,75 л, сухое, 13,0%
Chateau Reindent,тихое,Бордо,Jean-Bernard Saby & Fils, Франция, 0,75 л, сухое, 13,0%
Ruffino Orvieto Classico,тихое,Умбрия,Ruffino, Италия, 0,75 л, сухое, 12,0%
Carmenere Reserva Tarapaca,тихое,Майпо Велей,Tarapaca, Чили, 0,75 л, сухое, 14,0%
Robert Mondavi Shiraz Twin Oaks,тихое,Калифорния,Robert Mondavi, США, 0,75 л, сухое, 13,5%
Champagne de Venoge Louis XV,игристое,Шампань,null, Франция, 0,75 л, брют, Не указано
Jean-Luc Colombo Saint Joseph Le Prieure,тихое,Долина Роны,Vins Jean-Luc Colombo, Франция, 0,75 л, сухое, 13,0%
Brumont Chateau Bouscasse,тихое,Юго-Запад Франции,Brumont Vignobles, Франция, 1,5 л, сухое, 14,5%
Chateau Gloria,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,0%
Antoine Moueix Bordeaux La Grande Chapelle,тихое,Бордо,Antoine Moueix, Франция, 0,75 л, сухое, 13,5%
Bodegas Emilio Moro Finca Resalso,тихое,Рибера дель Дуэро,Emilio Moro, Испания, 0,75 л, сухое, 14,0%
Andre Chalandon Beaujolais-Villages,тихое,Бургундия,Andre Chalandon, Франция, 0,75 л, сухое, 12,5%
Vallformosa DuQue Egmond Cava Brut,игристое,Каталония,Masia Vallformosa, Испания, 0,75 л, брют, 11,5%
Di Lenardo Pinot Grigio Dal Vigneto Vigne Dai Vieris,тихое,Фриули Венеция Джулия,Di Lenardo Vineyards, Италия, 0,75 л, сухое, 12,5%
Domaine Chante Cigale Chateauneuf-du-Pape Blanc,тихое,Долина Роны,Ambiance Rhone Terroirs, Франция, 0,75 л, сухое, 13,5%
Konrad Riesling,тихое,Мальборо,Konrad Wines, Новая Зеландия, 0,75 л, полусухое, 12,0%
Maison Louis Latour Cote de Beaune-Villages,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,0%
Dow’s Nirvana Porto Reserve,крепленое,Доуро,Symington, Португалия, 0,5 л, сладкое, 20,0%
Dow’s Vintage Port,крепленое,unknown,Symington, Португалия, 1,5 л, сладкое, 20,0%
Castellani Costamaran Valpolicella Classico Superiore Ripasso I Castei,тихое,Венето,Castellani Michele & Figli, Италия, 0,75 л, сухое, 14,0%
Domaine Durand Les Сoteaux Rouge,тихое,Долина Роны,Ambiance Rhone Terroirs, Франция, 0,75 л, сухое, 13,5%
Castello di Monsanto Chianti Classico,тихое,Тоскана,Castello di Monsanto, Италия, 0,75 л, сухое, 13,5%
Bascand Pinot Gris,тихое,Мальборо,Southern Boundary Wines, Новая Зеландия, 0,75 л, полусухое, 12,5%
Donnafugata Ben Rye,тихое,Сицилия,Donnafugata, Италия, 0,375 л, сладкое, 14,5%
De Mar Cuvee Zenon,тихое,Пелешац,Agrokor, Хорватия, 0,75 л, сухое, 13,3%
Lambrusco Dell'Emilia Rosso Chiarli,игристое,Эмилия-Романья,Umberto Cesari, Италия, 0,75 л, сладкое, 7,0%
d'Arenberg The Stump Jump White Riesling Sauvignon Blanc Marsanne Roussanne,тихое,unknown,d'Arenberg, Австралия, 0,75 л, сухое, Не указано
Don Pascual Tannat Reserve,тихое,unknown,Don Pascual, Уругвай, 0,75 л, сухое, 13,0%
Golan Heights Winery Sangiovese Gamla,тихое,Галилея,Golan Heights, Израиль, 0,75 л, сухое, 14,5%
Jean-Luc Colombo Cornas Les Mejeans,тихое,Долина Роны,Vins Jean-Luc Colombo, Франция, 0,75 л, сухое, 13,0%
Vietti Barolo Castiglione,тихое,Пьемонт,Vietti, Италия, 0,75 л, сухое, 14,0%
Choya Original,плодовое,unknown,Choya Umeshu, Германия, 5 л, сладкое, 10,0%
